frame,timestep,n_atoms,surface_area_A2,filled_volume_A3
0,0,6342,67411.60120223924,1581326.7020421121
1,1000,6744,70378.01383007578,1675725.962065878
2,2000,7170,73743.53952193378,1778888.2182836456
3,3000,7586,77164.69486998106,1882885.0457333927
4,4000,7916,80010.80586435222,1967501.2785842558
5,5000,8274,83373.5661324703,2055223.97009609
6,6000,8606,86483.98651356166,2145033.089154157
7,7000,8952,89736.23438233919,2233868.542355112
8,8000,9238,91796.17040344077,2311112.7307708845
9,9000,9536,94137.80725610968,2390489.712050663
10,10000,9820,96164.8218005715,2466945.6939771026
11,11000,10054,98048.12630952886,2534082.2993552797
12,12000,10306,99410.14989434576,2607431.8226783075
13,13000,10514,100608.3833573232,2661910.7671403363
14,14000,10730,101758.38629769882,2717966.1232811552
15,15000,10926,102793.26487970675,2767391.2761877887
16,16000,11074,103451.48885628777,2803509.6573375124
17,17000,11246,104652.67464901574,2849828.3508401695
18,18000,11414,105602.62705282451,2892576.9353079805
19,19000,11590,106616.13460368935,2938663.803957341
20,20000,11778,107455.52446978177,2982988.8004476125
21,21000,11892,107659.06204311922,3015258.881477003
22,22000,12080,108614.1465511008,3063756.7328627277
23,23000,12196,109094.29020739591,3096351.3696535868
24,24000,12382,110064.129623598,3145359.2373025897
25,25000,12526,110919.66028635247,3181060.332761685
26,26000,12698,112260.50961243172,3225060.773556646
27,27000,12868,113423.36401403596,3265769.2957498287
28,28000,13030,114527.80725652198,3309862.4663008745
29,29000,13228,115809.06682844822,3361003.1266957326
30,30000,13452,117017.20598416177,3418727.625569248
31,31000,13660,117992.3523094565,3472650.1885374933
32,32000,13816,118775.3957118859,3512060.488932828
33,33000,13992,119875.16129120394,3558379.1828300497
34,34000,14182,121104.48353567721,3604883.337087008
35,35000,14328,121977.88078395114,3641882.654074169
36,36000,14484,122772.62448384632,3682915.7310124594
37,37000,14654,123989.11301432442,3730903.566936522
38,38000,14816,124544.16424015889,3774301.262357999
39,39000,14994,125434.61871171866,3820063.575607524
40,40000,15206,126570.91311229965,3877556.248791765
41,41000,15414,127858.69997922773,3929346.019662644
42,42000,15572,128634.9664042594,3972048.238694284
43,43000,15808,130179.04031722191,4034872.8938704208
44,44000,15994,131096.10723602577,4086523.5697188983
45,45000,16124,131692.55086227253,4119860.0471832976
46,46000,16314,132871.1050064746,4169934.310582981
47,47000,16524,134287.18168510988,4227426.983838436
48,48000,16716,135281.90313123085,4278428.548408517
49,49000,16894,136247.28252091914,4329105.558210926
50,50000,17002,136653.31994678557,4349691.644527299
51,51000,17188,137659.29463751503,4394063.00579723
52,52000,17316,138438.92579532322,4431804.16408864
53,53000,17420,138698.09143435594,4459113.183959743
54,54000,17556,139509.7035849047,4493469.692523401
55,55000,17706,140313.39008807682,4534502.769583196
56,56000,17776,140441.13889581044,4554393.379835774
57,57000,17928,141339.70924136584,4594360.060740351
58,58000,18092,142004.91282307566,4636181.343992385
59,59000,18218,142550.84672854506,4669935.1065879
60,60000,18420,143555.37341231757,4724228.591052791
61,61000,18592,144663.7382970219,4764427.097419621
62,62000,18756,145538.46959540457,4808102.98310845
63,63000,18872,146073.6135431239,4837173.874490374
64,64000,19026,146944.32884397727,4877696.936163888
65,65000,19172,147664.05605581758,4916643.585711758
66,66000,19320,148402.38196425838,4956517.536372602
67,67000,19408,148916.18346001024,4977103.622655897
68,68000,19606,150002.78852223683,5027131.521430646
69,69000,19718,150629.34951788455,5055831.492762149
70,70000,19844,151343.23564234193,5093850.841334493
71,71000,19990,152095.5285669779,5132565.6653511515
72,72000,20120,152808.62689259677,5165392.127575265
73,73000,20208,153238.51822138423,5188481.926397886
74,74000,20356,154021.5512040258,5224507.577666323
75,75000,20546,155129.26704540403,5271429.017337118
76,76000,20616,155474.02205047582,5288213.168683011
77,77000,20774,156348.0514298329,5330961.753144686
78,78000,20892,156735.2794006547,5363880.944836905
79,79000,21026,157508.151721077,5400972.992246675
80,80000,21110,157932.05097665024,5425175.553082644
81,81000,21242,158503.21154815218,5459995.712142961
82,82000,21344,159043.32312980085,5486238.335611243
83,83000,21462,159366.67307067523,5514845.577233429
84,84000,21548,159847.7309836169,5536683.520238947
85,85000,21660,160373.89834683712,5563946.17457189
86,86000,21810,161250.11816222873,5603031.919531586
87,87000,21956,162051.7703696294,5640726.712527346
88,88000,22056,162699.84860073798,5665995.6698216
89,89000,22172,163261.3035022499,5701233.11410745
90,90000,22298,163728.22037228523,5732529.529321465
91,91000,22426,164535.44518249974,5765866.00623844
92,92000,22508,165089.78710035412,5787518.488763431
93,93000,22588,165504.08775557182,5804580.830850073
94,94000,22670,165865.8208093939,5824610.535622682
95,95000,22790,166569.26797283813,5853774.158475789
96,96000,22880,166985.08403262246,5877744.8937230725
97,97000,23018,167767.67067971782,5913863.27497342
98,98000,23148,168518.6962360518,5948729.799065247
99,99000,23238,168829.70633935425,5974416.041982768
100,100000,23360,169493.66063221023,6007010.678047357
101,101000,23504,170154.8705871381,6048321.945780232
102,102000,23606,170597.95173106415,6076929.1869231835
103,103000,23744,171347.39904962058,6113001.203208924
104,104000,23840,171834.5008019214,6135673.7165687885
105,105000,24012,172844.83493653938,6179952.348288654
106,106000,24120,173379.7713502997,6209950.5413211305
107,107000,24170,173631.70699430566,6224787.36026133
108,108000,24260,174077.40559334427,6242081.52681574
109,109000,24410,175005.69709832003,6280796.35152886
110,110000,24560,175787.76836352522,6319232.985427355
111,111000,24658,176110.98534570023,6344872.8630078565
112,112000,24758,176631.15233532296,6370234.550506517
113,113000,24860,176981.60174108617,6398563.601192696
114,114000,25012,177832.86234955862,6439179.393158235
115,115000,25080,178274.78130026595,6457818.1468660785
116,116000,25218,178892.50018601256,6496347.511053913
117,117000,25284,179165.60091286874,6513595.312157571
118,118000,25398,179717.80744796045,6543778.9663677225
119,119000,25474,180182.61906564634,6559543.086160762
120,120000,25596,180739.94791730083,6590375.850254709
121,121000,25714,181481.38702597437,6619354.0123030525
122,122000,25834,182120.8596499489,6650279.507116278
123,123000,25904,182359.89638107567,6671653.799181494
124,124000,26002,182813.3377581017,6693677.2015559
125,125000,26076,183341.83049952265,6713567.812130772
126,126000,26104,183401.60851973086,6718621.603297333
127,127000,26246,184274.3672567148,6756038.206582903
128,128000,26326,184719.23381877766,6777783.419054039
129,129000,26424,185242.98730626664,6803469.661704462
130,130000,26536,185998.5105498533,6834997.901714261
131,131000,26596,186139.5435910449,6850483.831125407
132,132000,26716,186794.50619342667,6881826.611035432
133,133000,26806,187239.21907267472,6903618.189178751
134,134000,26914,187958.636374895,6934126.398442281
135,135000,27044,188599.10405058603,6965979.193597187
136,136000,27114,188986.7789743618,6985035.232765175
137,137000,27240,189644.77785566117,7021895.454839551
138,138000,27342,190040.4618331452,7044892.523806433
139,139000,27414,190442.065977475,7066081.35570135
140,140000,27556,191260.02403780696,7103266.133000123
141,141000,27666,191763.23223719164,7131595.184571984
142,142000,27768,192236.27401294577,7161268.821925196
143,143000,27838,192622.86580955473,7177264.767555919
144,144000,27930,193022.5553393697,7204388.327048759
145,145000,28040,193605.99086394155,7232346.457340278
146,146000,28128,194064.3378670961,7257800.874565045
147,147000,28220,194568.99685266629,7284599.878977095
148,148000,28272,194748.48352256045,7295171.1121953735
149,149000,28364,195249.88854495683,7317843.626008925
150,150000,28474,195874.96267449151,7346311.772229319
151,151000,28556,196385.71927874096,7368706.095351761
152,152000,28678,197039.85790655072,7400466.161290601
153,153000,28810,197742.86425779678,7436028.161244087
154,154000,28948,198467.84437760312,7473537.494412746
155,155000,29020,198775.29098293668,7491805.327040713
156,156000,29050,198777.8673083667,7497183.674382357
157,157000,29148,199283.30021178897,7521386.235274911
158,158000,29246,199864.48196137557,7547257.937998737
159,159000,29318,200391.17013179167,7569374.071115518
160,160000,29388,200558.6235725583,7584628.175710134
161,161000,29494,201252.88579319828,7613374.512217959
162,162000,29552,201642.4926843408,7627237.664794151
163,163000,29706,202468.34053361582,7668038.916910766
164,164000,29814,203044.5326695912,7695672.491848218
165,165000,29930,203742.56070004054,7726458.891253403
166,166000,29968,203913.92378420837,7735824.6328431545
167,167000,30058,204409.73090595417,7758543.5119035365
168,168000,30142,204647.5240371519,7779175.9627961
169,169000,30276,205417.4414897729,7812697.900585658
170,170000,30378,206028.64623058538,7839079.6194334375
171,171000,30390,205938.24067077236,7838847.794135321
172,172000,30424,206012.62446262964,7847193.504685333
173,173000,30536,206628.4838792046,7875058.904513295
174,174000,30596,206909.96268292563,7891796.691173713
175,175000,30672,207224.03307565834,7911362.7460387
176,176000,30746,207619.01140177928,7930233.325049509
177,177000,30872,208329.85469001002,7962596.136499495
178,178000,30876,208304.2381958352,7963245.247583121
179,179000,30952,208734.23799145786,7983135.857463886
180,180000,31064,209348.87544511908,8013458.606588701
181,181000,31154,209834.7564341324,8039005.753835969
182,182000,31200,210067.53965988697,8049437.891891754
183,183000,31254,210185.05648236163,8060936.426661978
184,184000,31420,211228.14541442113,8106884.199886204
185,185000,31450,211275.80490586988,8114488.069429688
186,186000,31522,211693.50927317305,8133868.664582293
187,187000,31606,212118.82405409598,8154779.30594241
188,188000,31644,212343.51377516252,8163542.302079225
189,189000,31730,212737.2651039401,8188625.798902407
190,190000,31878,213598.01266097874,8228731.575015968
191,191000,31998,214432.1855248028,8263041.718798232
192,192000,32048,214646.2989563258,8275977.570345739
193,193000,32118,215030.75080023467,8291278.039748019
194,194000,32190,215407.9525919784,8310009.523513657
195,195000,32220,215415.55043017666,8317845.218538978
196,196000,32324,215988.58533524998,8342465.064916894
197,197000,32436,216685.93080070926,8374688.780642511
198,198000,32508,217048.60119146807,8391612.02724932
199,199000,32598,217559.63717088746,8415072.747325355
200,200000,32714,218432.07717363827,8447991.938911878
201,201000,32804,218908.80499171268,8472704.515284685
202,202000,32900,219424.28202209857,8497556.187090376
203,203000,32962,219766.0851900327,8510909.323761223
204,204000,33006,219911.99893340483,8520831.446206756
205,205000,33066,220269.39921989376,8536178.2810165
206,206000,33176,220855.5469651533,8563580.030957451
207,207000,33232,221225.09265622371,8579390.515814839
208,208000,33296,221664.81244214156,8594273.699772175
209,209000,33396,222181.48637347945,8620887.243951736
210,210000,33494,222764.3838764008,8647176.232285108
211,211000,33542,222989.63814387284,8659509.337899514
212,212000,33636,223629.77837013046,8685566.501686836
213,213000,33742,224216.52390391182,8714220.107663982
214,214000,33838,224801.12154924366,8740230.905906787
215,215000,33928,225183.34653721875,8762486.134077035
216,216000,33950,225283.2256257618,8765453.497813175
217,217000,34008,225494.7535469446,8777508.413313512
218,218000,34124,226158.4038445558,8809685.76473327
219,219000,34182,226550.99294465093,8825171.69381569
220,220000,34296,227218.8037062462,8856931.759280996
221,221000,34358,227553.350858459,8872510.419080084
222,222000,34422,227950.81375868127,8887486.33304264
223,223000,34470,228127.12562650276,8898567.582296463
224,224000,34514,228346.0605738253,8910529.767695446
225,225000,34540,228393.42763944957,8918087.272168742
226,226000,34594,228616.3382358478,8931764.964589888
227,227000,34642,228852.0329230049,8943402.594582308
228,228000,34710,229207.6167090367,8960047.650443902
229,229000,34740,229292.3479020609,8969459.757670261
230,230000,34766,229386.3187390622,8976970.897195693
231,231000,34834,229772.2965746873,8994635.984624574
