frame,step,time_s,time_kappa,energy_eV,n_atoms,surface_sites,surface_area_A2,gamma_eV_A2,gamma_mJ_m2,spherical_surface_area_A2,gamma_spherical_mJ_m2
0,0,0,0,-6090.46,6342,1696,70685.83470577035,0.00660907524038708,105.88905922496113,70609.47693888782,106.00356867114648
1,1000,5.83376e-8,0.175556649952722,-6373.76,6744,1997,83230.90324730152,0.007203285998454402,115.40936514743002,73562.62366755928,130.5775300759735
2,2000,1.0421e-7,0.31360149357486694,-6680.72,7170,2318,96609.53116036301,0.007587864170287584,121.57098675600564,76628.72619778986,153.2704067517066
3,3000,1.43933e-7,0.43314080966040996,-6995.88,7586,2627,109488.02345050631,0.007745541231579135,124.09725178919673,79564.7546901323,170.76861314981284
4,4000,1.81311e-7,0.545623264576842,-7280.3,7916,2838,118282.07482015109,0.007649882717865941,122.56463343405225,81855.78157128122,177.10659972779794
5,5000,2.1731e-7,0.6539558638206923,-7571.39,8274,3102,129285.05852435119,0.007610515950028945,121.93390827820687,84305.48805468198,186.98939809975238
6,6000,2.48723e-7,0.7484877102621786,-7860.69,8606,3325,138579.24551691415,0.0074896785310706445,119.9978793865283,86545.87976967153,192.1433537133234
7,7000,2.82559e-7,0.8503111450246696,-8154.09,8952,3566,148623.6359438544,0.007416572693837258,118.8265947442849,88850.29721092351,198.76625191019954
8,8000,3.14013e-7,0.9449663736870233,-8435.07,9238,3713,154750.29732460217,0.00721822199576748,115.64866620643504,90732.76402561659,197.2458975854271
9,9000,3.45028e-7,1.0383005097893598,-8716.21,9536,3888,162043.9418254924,0.007059899846376283,113.11206572244271,92673.66334454193,197.78137969516538
10,10000,3.75345e-7,1.1295341388144942,-9008.47,9820,4017,167420.3997718629,0.006841519919680076,109.61323356356975,94504.64630936855,194.18612840922495
11,11000,4.06897e-7,1.2244842810779448,-9263.36,10054,4090,170462.89147794855,0.006643533910408297,106.44114798442823,96000.04202120281,189.00268662018357
12,12000,4.36989e-7,1.3150408125495399,-9522.68,10306,4171,173838.8069326463,0.006521696852413746,104.4891031096865,97597.55276208333,186.11389843277897
13,13000,4.69093e-7,1.4116521008110072,-9754.55,10514,4197,174922.4341156357,0.006385264449622493,102.30321503096027,98906.34450443639,180.9300250730446
14,14000,5.00422e-7,1.5059311641658388,-9995.02,10730,4236,176547.8748901198,0.00622947175481152,99.80714087721995,100256.37181680532,175.7567953180043
15,15000,5.31865e-7,1.6005532902811306,-10218.9,10926,4233,176422.84098439026,0.006113630151185656,97.95115377147546,101473.57627505336,170.29872662831292
16,16000,5.64236e-7,1.6979680676394646,-10385.7,11074,4225,176089.41723577815,0.006047018706264693,96.883920765382,102387.87164345794,166.62357438683495
17,17000,5.97137e-7,1.7969777859016922,-10585.6,11246,4177,174088.8747441054,0.00598983709632661,95.96777037200903,103445.32982725141,161.5048372281618
18,18000,6.30936e-7,1.8986898757331567,-10771.5,11414,4134,172296.72209531523,0.005981402242985692,95.83262912266866,104473.00371955313,158.04702918215744
