frame,step,time_s,time_kappa,energy_eV,n_atoms,ovito_surface_area_A2,gamma_ovito_eV_A2,gamma_ovito_mJ_m2
0,0,0,0,-6090.46,6342,67411.60120223924,0.0069300831261738735,111.03217256433454
1,1000,5.83376e-8,0.175556649942496,-6373.76,6744,70378.01383007578,0.008518796814123654,136.4861720538256
2,2000,1.0421e-7,0.3136014935566,-6680.72,7170,73743.53952193378,0.009940667409678158,159.2670505015165
3,3000,1.43933e-7,0.43314080963518,-6995.88,7586,77164.69486998106,0.010990051880965962,176.08004330131413
4,4000,1.81311e-7,0.54562326454506,-7280.3,7916,80010.80586435222,0.011309022452967712,181.19051527526233
5,5000,2.1731e-7,0.6539558637826,-7571.39,8274,83373.5661324703,0.011801414352801744,189.07950324211188
6,6000,2.48723e-7,0.74848771021858,-7860.69,8606,86483.98651356166,0.012001227531726272,192.28086330649327
7,7000,2.82559e-7,0.8503111449751399,-8154.09,8952,89736.23438233919,0.01228353304088429,196.80389621071777
8,8000,3.14013e-7,0.9449663736319801,-8435.07,9238,91796.17040344077,0.012168503272965859,194.96091614698423
9,9000,3.45028e-7,1.03830050972888,-8716.21,9536,94137.80725610968,0.012152545649248198,194.70524682843822
10,10000,3.75345e-7,1.1295341387487,-9008.47,9820,96164.8218005715,0.011910904409258674,190.83372734321821
11,11000,4.06897e-7,1.2244842810066199,-9263.36,10054,98048.12630952886,0.011550205420804052,185.0546924311239
12,12000,4.36989e-7,1.31504081247294,-9522.68,10306,99410.14989434576,0.011404509511402356,182.7203866139961
13,13000,4.69093e-7,1.41165210072878,-9754.55,10514,100608.3833573232,0.011101718989292369,177.8691476187833
14,14000,5.00422e-7,1.5059311640781199,-9995.02,10730,101758.38629769882,0.01080795441058277,173.16252017972957
15,15000,5.31865e-7,1.6005532901879,-10218.9,10926,102793.26487970675,0.010492749707504745,168.11238407774437
16,16000,5.64236e-7,1.69796806754056,-10385.7,11074,103451.48885628777,0.010292901646676296,164.91046514364885
17,17000,5.97137e-7,1.7969777857970202,-10585.6,11246,104652.67464901574,0.009964045386295403,159.64160698037998
18,18000,6.30936e-7,1.89868987562256,-10771.5,11414,105602.62705282451,0.009758999645761527,156.35641203653395
19,19000,6.64263e-7,1.9989815652469798,-10955.7,11590,106616.13460368935,0.009645444414418053,154.5370566532642
20,20000,6.98977e-7,2.1034471851234198,-11153.1,11778,107455.52446978177,0.009542105955551371,152.8813920113665
21,21000,7.31776e-7,2.20214995248896,-11288.8,11892,107659.06204311922,0.009358506203560168,149.93979968488148
22,22000,7.65926e-7,2.30491831449796,-11480,12080,108614.1465511008,0.00930560182162346,149.09217803912944
23,23000,7.98901e-7,2.40415072261646,-11626,12196,109094.29020739591,0.009025806924707839,144.60936957762297
