frame,timestep,n_atoms,surface_area_A2,filled_volume_A3
0,0,5712,58863.17218582658,1279385.540092151
1,1000,6008,61088.11496430541,1346520.7437399116
2,2000,6250,62984.41800731325,1405562.9206489334
3,3000,6514,65163.95824732393,1470140.2501134244
4,4000,6724,66686.15528069959,1517650.7333139027
5,5000,6968,68460.24471583866,1577783.1517049493
6,6000,7224,70575.51892392778,1642653.9814683916
7,7000,7440,72074.17921140023,1692932.0360968816
8,8000,7670,73611.32965116517,1748032.462763693
9,9000,7828,74548.12918458269,1777553.5433190027
10,10000,8000,75607.28052221319,1819151.4768609463
11,11000,8214,77203.59801815343,1870897.1849281152
12,12000,8382,78521.04324563823,1909182.2967520412
13,13000,8538,79551.51082564631,1939038.8559934353
14,14000,8766,81173.67630331985,1994265.0627555093
15,15000,8994,82757.78607337642,2047436.5630140323
16,16000,9210,84407.0061256298,2102578.9155805623
17,17000,9356,85200.91677201116,2128325.9856269923
18,18000,9468,85840.2806519609,2151934.477239052
19,19000,9684,87509.42272942408,2204644.701436212
20,20000,9810,88083.19571869649,2235088.3294426524
21,21000,9974,89184.10574324237,2273499.263514195
22,22000,10070,89606.62954398114,2291740.246482344
23,23000,10256,90966.13993698753,2334847.735772017
24,24000,10356,91618.43007161353,2355143.481654637
25,25000,10514,92720.4797991029,2391164.2272067918
26,26000,10658,93646.20119133597,2423452.9305945896
27,27000,10804,94779.34629133018,2460312.353056988
28,28000,10922,95400.33355287762,2484507.9102936652
29,29000,11038,96073.15255931621,2508577.6705126287
30,30000,11196,97184.19663596952,2549336.8639586153
31,31000,11294,97729.58555727663,2568793.9652323937
32,32000,11450,98550.30696558743,2604814.7371644587
33,33000,11592,99640.76837834992,2639116.2010139357
34,34000,11704,100310.54658770448,2662011.7715615537
35,35000,11752,100503.12772686378,2670608.0864158683
36,36000,11876,101281.0319764588,2698284.1226714137
37,37000,12038,102577.22366193384,2739798.128656246
38,38000,12172,103601.63232032488,2770828.775542991
39,39000,12338,104865.6336980335,2811965.3421501894
40,40000,12514,106008.95325901534,2854024.448704924
41,41000,12656,107091.43404522123,2887822.6872153324
42,42000,12782,107977.6015928798,2912353.6640888555
43,43000,12846,108171.15526913629,2924849.814464028
44,44000,12942,108662.63895027811,2945019.7240708536
45,45000,13054,109453.0671311169,2972318.3285227055
46,46000,13168,110366.65684288871,2996178.3761458225
47,47000,13324,111501.2925106703,3037398.8129114835
48,48000,13446,112180.78964440107,3068135.927223258
49,49000,13608,113360.07485074323,3107217.767661296
50,50000,13696,113714.97408253566,3124536.186247545
51,51000,13860,114669.21678252393,3163576.083905354
52,52000,13914,114971.24034684285,3168859.7162912153
53,53000,14000,115602.40783209402,3188023.222865355
54,54000,14124,116387.18090747055,3218592.637600052
55,55000,14230,116808.92929597701,3244842.85563471
56,56000,14282,117225.9732868051,3252600.5457586725
57,57000,14304,117122.94186918538,3251887.6802128702
58,58000,14376,117502.24318932238,3262958.048244872
59,59000,14444,117902.26260703761,3277215.3905864293
60,60000,14524,118217.23549005632,3297175.624677498
61,61000,14648,119102.14889554436,3328038.558322445
62,62000,14818,120398.80704794663,3372194.3011085917
63,63000,14916,120976.98911882054,3398696.1024550535
64,64000,14946,121097.68486888646,3403266.869977111
65,65000,15058,121573.678154993,3436394.1817576373
66,66000,15134,122081.01003243403,3448764.5137404166
67,67000,15262,123063.1005875282,3481304.727318622
68,68000,15324,123362.45358289412,3491326.7939198236
69,69000,15406,123594.19975030652,3510322.59067687
70,70000,15450,123905.95403761356,3518373.7863440015
71,71000,15478,123969.92170945523,3519212.4674952338
72,72000,15518,124190.1130296824,3527473.3112323107
73,73000,15624,124954.50248254833,3553346.1851553963
74,74000,15734,125569.02251317694,3583873.6255984697
75,75000,15818,125886.4283336568,3603875.7751338584
76,76000,15904,126642.29490708999,3626813.301396596
77,77000,15946,126852.67128036368,3633941.9506088365
78,78000,16014,127251.61684537999,3651973.272070711
79,79000,16114,127973.13984700319,3675623.6801060666
80,80000,16224,128659.48464716655,3706193.0523386546
81,81000,16332,129193.40203906018,3729885.336659342
82,82000,16442,129698.41843767707,3760203.1080836914
83,83000,16522,130225.34060981544,3778234.4523360347
84,84000,16586,130493.88948781417,3789430.6512151603
85,85000,16676,131002.19781575724,3807587.764173733
86,86000,16758,131373.6211981671,3827925.41998409
87,87000,16824,131808.61044193985,3843692.3454865273
88,88000,16906,132382.01987555914,3865875.0980230705
89,89000,16904,132204.32787407044,3851995.124054352
90,90000,16972,132524.54715824607,3866168.5919878203
91,91000,17008,132807.170632543,3872668.2844833042
92,92000,17074,133297.21895640553,3891328.5793558075
93,93000,17124,133647.3410851306,3900260.384221934
94,94000,17154,133747.9479146522,3903405.34646865
95,95000,17260,134516.21745281536,3934519.8551373575
96,96000,17290,134650.77371108285,3938377.731479803
97,97000,17356,135102.29379332057,3954228.5205844836
98,98000,17390,135309.18996386122,3956325.1809948212
99,99000,17438,135691.90415148437,3968527.7649145043
100,100000,17496,135965.74900500092,3984797.8628214877
101,101000,17580,136563.498075433,4007106.3703369573
102,102000,17644,136993.8813710247,4020063.74062069
103,103000,17678,137027.26077101287,4025976.355828429
104,104000,17726,137411.90408019573,4037466.0633484465
105,105000,17768,137504.11267749136,4045181.777824173
106,106000,17816,137935.77876121408,4055707.0595079595
107,107000,17832,138031.52010315447,4056461.8245928353
108,108000,17862,138214.3117402621,4064051.755559504
109,109000,17896,138454.70006274994,4071012.6820033756
110,110000,17936,138705.69501447855,4081328.283907461
111,111000,17998,139173.61948571724,4097388.7229378917
112,112000,18140,140312.1657465724,4137896.2461789283
113,113000,18244,140943.60205641584,4167165.7133546695
114,114000,18408,142260.07217440064,4213460.051041529
115,115000,18500,143003.64100870435,4235265.339063112
116,116000,18620,143958.5981437363,4264241.2662507165
117,117000,18712,144562.17176151377,4286717.532192105
118,118000,18832,145381.30547929925,4321270.619285999
119,119000,18942,146042.7036062778,4348820.777226067
120,120000,19074,146692.44809000532,4379348.240579703
121,121000,19168,147217.98555053136,4402118.013432858
122,122000,19288,147933.52620275746,4431848.71811537
123,123000,19416,148574.90938006088,4463298.693597548
124,124000,19536,149238.76249539203,4493071.309890026
125,125000,19644,149848.66297386127,4515547.559462297
126,126000,19782,150704.66715102937,4547333.016645747
127,127000,19898,151616.08828247178,4577483.094243954
128,128000,19992,151969.09254252407,4598282.012004335
