frame,step,time_s,time_kappa,energy_eV,n_atoms,ovito_surface_area_A2,gamma_ovito_eV_A2,gamma_ovito_mJ_m2
0,0,0,0,-9237.92,5712,58863.17218582658,0.01152169288224811,184.59787120062035
1,1000,2.75527e-7,0.28555368267872067,-9655.72,6008,61088.11496430541,0.012674546079092394,203.0686157447815
2,2000,5.23055e-7,0.5420894558192781,-10024.9,6250,62984.41800731325,0.013101653172442855,209.91162579659914
3,3000,7.71719e-7,0.7998025690518157,-10430.6,6514,65163.95824732393,0.013470762789889748,215.82541384118005
4,4000,0.00000100027,1.0366707515889328,-10758.1,6724,66686.15528069959,0.013719063277063208,219.80362622878138
5,5000,0.00000121999,1.2643865658582003,-11136.5,6968,68460.24471583866,0.014023605845771475,224.68293610520865
6,6000,0.00000143055,1.4826090392449518,-11521.4,7224,70575.51892392778,0.014446646649512668,231.46079701503584
7,7000,0.00000163698,1.6965512181071625,-11896.3,7440,72074.17921140023,0.014147355560015805,226.66562511147308
8,8000,0.00000184602,1.9131983772863344,-12266.1,7670,73611.32965116517,0.014252462562104683,228.34962493963897
9,9000,0.00000204834,2.1228809894425256,-12550.8,7828,74548.12918458269,0.01393372656513021,223.24291127196702
10,10000,0.00000224574,2.327464558242605,-12846.5,8000,75607.28052221319,0.013776821396108141,220.72901331635722
11,11000,0.00000242711,2.51543478049828,-13201.2,8214,77203.59801815343,0.01370966446085969,219.65304059169603
12,12000,0.00000262764,2.7232622528968613,-13487.1,8382,78521.04324563823,0.013552877903963539,217.1410430118528
13,13000,0.00000281343,2.915813323045629,-13747.5,8538,79551.51082564631,0.01350828660382322,216.42661162020778
14,14000,0.00000300429,3.113618895189414,-14095.9,8766,81173.67630331985,0.013822415185525938,221.45950635696434
15,15000,0.00000318095,3.2967077161834464,-14461.6,8994,82757.78607337642,0.013921685906126706,223.04999864683327
16,16000,0.00000336436,3.4867921759282416,-14804.2,9210,84407.0061256298,0.014033282477013504,224.8379728299268
17,17000,0.00000355308,3.6823798714903035,-15082.5,9356,85200.91677201116,0.013610953261255606,218.07151281649828
18,18000,0.00000372652,3.8621315137024905,-15304.7,9468,85840.2806519609,0.013186111221947839,211.26479293130015
19,19000,0.00000391847,4.061066751955658,-15630.5,9684,87509.42272942408,0.013496591648785347,216.2392377832342
20,20000,0.00000408069,4.229190087977688,-15874.1,9810,88083.19571869649,0.013126419296734856,210.308422853153
21,21000,0.00000426336,4.418507618437215,-16138.6,9974,89184.10574324237,0.013190955655112444,211.3424093075132
